"Symbol: ESH22",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-01-28 12:20:00,4365,4365.75,4363.5,4364.5,0,1794,
2022-01-28 12:21:00,4364.75,4365.5,4359.5,4359.5,-5,2826,
2022-01-28 12:22:00,4359.75,4359.75,4355.25,4357.5,-2,2156,
2022-01-28 12:23:00,4357.25,4359,4355.25,4357.5,0,1813,
2022-01-28 12:24:00,4357.25,4361,4357,4360,2.5,1795,
2022-01-28 12:25:00,4360,4363.25,4359.75,4361.25,1.25,1948,
2022-01-28 12:26:00,4361.25,4362,4357.5,4358,-3.25,1764,
2022-01-28 12:27:00,4358.25,4358.5,4351.25,4354.75,-3.25,3007,
2022-01-28 12:28:00,4355,4359.5,4355,4357.25,2.5,2290,
2022-01-28 12:29:00,4357,4361.5,4355.75,4361.25,4,2120,
2022-01-28 12:30:00,4361.5,4372.5,4361.25,4371.25,10,5494,
2022-01-28 12:31:00,4371,4371,4368.5,4370,-1.25,2793,
2022-01-28 12:32:00,4370,4370,4367.25,4368.25,-1.75,1994,
2022-01-28 12:33:00,4368.25,4371.5,4368,4369,0.75,2431,
2022-01-28 12:34:00,4369.25,4370.5,4367.5,4367.5,-1.5,2579,
2022-01-28 12:35:00,4367.75,4371.25,4366.25,4370.75,3.25,1677,
2022-01-28 12:36:00,4370.75,4374,4368.5,4369.5,-1.25,5428,
2022-01-28 12:37:00,4369.5,4370,4363.75,4365.75,-3.75,2529,
2022-01-28 12:38:00,4366,4370.5,4365.25,4368.75,3,1762,
2022-01-28 12:39:00,4368.75,4369.75,4366.25,4367.25,-1.5,1630,
2022-01-28 12:40:00,4367.25,4368,4363,4366.5,-0.75,2302,
2022-01-28 12:41:00,4366.75,4367.75,4363.75,4364.25,-2.25,1346,
2022-01-28 12:42:00,4364.5,4367.5,4364.5,4367,2.75,1008,
2022-01-28 12:43:00,4367.25,4369,4362.25,4366,-1,2168,
2022-01-28 12:44:00,4366.25,4369.25,4365.5,4366,0,1678,
2022-01-28 12:45:00,4366,4367.75,4364,4364.75,-1.25,1506,
2022-01-28 12:46:00,4365,4370,4364.25,4366.25,1.5,2134,
2022-01-28 12:47:00,4366.25,4367,4363,4366.5,0.25,1831,
2022-01-28 12:48:00,4366.5,4372.5,4366.5,4368.75,2.25,3072,
2022-01-28 12:49:00,4369,4370.25,4364.25,4366,-2.75,2241,
2022-01-28 12:50:00,4366,4368.5,4364.5,4366.5,0.5,1875,
2022-01-28 12:51:00,4366.5,4370.75,4364.25,4370.25,3.75,1683,
2022-01-28 12:52:00,4370.25,4371,4367.25,4368.75,-1.5,2166,
2022-01-28 12:53:00,4368.75,4371.5,4368.25,4370.75,2,1634,
2022-01-28 12:54:00,4371,4373.75,4369.5,4370,-0.75,2484,
2022-01-28 12:55:00,4370.25,4371.25,4368,4371,1,1687,
2022-01-28 12:56:00,4370.75,4373.75,4368.5,4369.25,-1.75,2123,
2022-01-28 12:57:00,4369.5,4370.75,4367.5,4370,0.75,1688,
2022-01-28 12:58:00,4370.25,4373.25,4369.25,4370.5,0.5,3129,
2022-01-28 12:59:00,4370.75,4374.25,4367,4367.25,-3.25,2918,
2022-01-28 13:00:00,4367,4376.5,4366.75,4371.25,4,5788,
2022-01-28 13:01:00,4371.25,4374.75,4369.5,4370.75,-0.5,3180,
2022-01-28 13:02:00,4370.75,4372,4364.25,4365,-5.75,2892,
2022-01-28 13:03:00,4365,4366.75,4363,4366.25,1.25,2876,
2022-01-28 13:04:00,4366.5,4367.5,4361.5,4362,-4.25,2478,
2022-01-28 13:05:00,4362,4362.5,4360,4361.5,-0.5,4703,
2022-01-28 13:06:00,4361.75,4363,4355,4356.5,-5,7228,
2022-01-28 13:07:00,4356.5,4356.75,4353,4353.5,-3,5229,
2022-01-28 13:08:00,4353.5,4355.25,4352,4353.5,0,2520,
2022-01-28 13:09:00,4353.25,4355.5,4352.5,4354.5,1,1586,
2022-01-28 13:10:00,4354.5,4355.75,4352.5,4355.25,0.75,1849,
2022-01-28 13:11:00,4355,4355.25,4348.75,4350.25,-5,2622,
