deltas
-6.97
-54.78
32.04
125.92
13.25
37.82
-63.98
56.88
-19.62
-86.24
-132.93
99.43
28
35.7
75.8
-19.26
-41.79
10.94
87.63
49.18
-40.18
-41.52
21.88
-17.75
57.97
-22.93
-26.97
-83.76
-95.66
54.08
58.5
10.19
-53.81
73.45
64.62
55.27
54.9
-24.86
74.54
2.24
-43.93
-14.95
20.64
-2.66
87.41
10.97
-18.42
9.03
15.5
-4.42
9.13
-57.2
-21.82
-46.2
-54.27
19.88
31.86
50.46
-73.38
8.9
41.15
-24.38
23.55
-10.35
-54.78
-43.3
51.06
-72.37
89.78
