,0,1,2,3,4,5,6,7,8,9,10,11
2021-12-01,-6.048424594591148,-5.932491487954838,-4.859320157870504,-3.177254424529462,-2.3212340294573277,-4.919157657255689,-6.020471802109206,-5.973165261134319,0.0,0.0,0.0,0.0
2021-12-02,-5.997054799629063,-5.557920493469918,-5.171079297946838,-2.2552948857042177,-2.977281649661377,-5.669867758677283,-6.334308313268942,-5.353632778262845,0.0,0.0,0.0,0.0
2021-12-03,-5.837674924579455,-5.70369722175923,-4.792425684452638,-1.737349298983901,-3.929987551934371,-6.898194331161301,-5.989831110375649,0.0,0.0,0.0,0.0,
2021-12-06,-6.173219275257677,-5.014788540920096,-7.300574416679053,1.5174474090842893,-12.04097983384489,1.404677172979609,-5.974366905598153,0.0,0.0,0.0,0.0,
2021-12-07,-4.02349770320109,-3.9746269804099756,0.4275206702865564,-1.9022092532218824,-20.46420671689317,114.5685488255955,-5.971261502201696,0.0,0.0,0.0,0.0,
2021-12-08,-6.031735837388691,-5.528159668242992,-6.953290808846473,-3.0588127850275493,-1.3567968988661645,-7.738707430532236,-5.126533224462751,-6.12256026434766,0.0,0.0,0.0,0.0
2021-12-09,-5.977283978487687,-4.446268614742016,-8.960348257599897,-1.640307354739784,-2.5069831879288897,-5.423377167497988,-6.104364151000822,0.0,0.0,0.0,0.0,
2021-12-10,-6.1059559048978125,-5.4963660039728115,-3.2707949201725013,0.18991670385994766,-13.886061830132165,7.611712126872756,-5.971171714063019,0.0,0.0,0.0,0.0,
2021-12-13,-5.364070017882459,-6.02725036507694,-4.279449463433125,-3.0082591955918705,-2.121192462716085,-6.625953188014163,-5.98435148395586,-5.941512830343219,0.0,0.0,0.0,0.0
2021-12-14,-5.968549714432888,1.8032398810873826,-16.98938549786118,0.5185479111289866,-4.838570101682628,-6.499823243488963,-5.303426884014724,0.0,0.0,0.0,0.0,
2021-12-15,-6.009245685832926,-5.304554745249703,-7.2029865519556315,-0.5484748509020447,-5.9492072477107945,-6.742738029172804,-5.9803918999132755,0.0,0.0,0.0,0.0,
2021-12-16,-5.755205791555294,-5.132510173432517,-3.2626934067761395,-1.2865572543869848,-9.1479758145218,-3.566375944282742,-6.016572761413225,0.0,0.0,0.0,0.0,
2021-12-17,-5.975377388597901,0.9353686751190678,-15.870721179970632,-0.6322452781036697,-2.58733242725107,-6.8522138599671205,-4.751593554797446,0.0,0.0,0.0,0.0,
2021-12-20,-5.978845258467569,-2.256894769047684,-11.778899554492611,-2.8653369348396156,0.1191040323563124,-5.894454006470334,-4.280187331041621,0.0,0.0,0.0,0.0,
2021-12-21,-4.521496760222675,-5.291433466274278,-2.7630127518336915,0.06313268155381209,-14.964286158070019,12.042827491657523,-5.9713361319031275,0.0,0.0,0.0,0.0,
2021-12-22,-5.128842866937246,-6.483281327863769,-5.423351221878997,-2.228308619562186,-3.110191388567889,-5.462213562980417,-6.400806149937812,-5.900186306886944,0.0,0.0,0.0,0.0
2021-12-23,-5.292687099872867,-6.192084591209438,-6.194913880679414,0.38208865433921035,-11.008773967507654,0.4670003614579703,-5.977151752042147,0.0,0.0,0.0,0.0,
2021-12-27,-5.06440342852939,-6.13919864899171,-3.3487408981094298,0.2236858467725652,-14.041503950773308,7.64352493262317,-5.97127131038006,0.0,0.0,0.0,0.0,
2021-12-28,-5.936213629155918,-6.2670323738109674,-5.922714386782629,-3.370291093600422,-1.9306664371456888,-4.642592995642043,-6.721646862581605,-5.884855922612897,0.0,0.0,0.0,0.0
2021-12-29,-6.044052299244507,-4.590127827467717,-8.894955662635756,-0.32985292028471125,-5.67586226639764,-6.010386426381392,-5.982496281917651,0.0,0.0,0.0,0.0,
2021-12-30,-5.962457061324287,-4.531925781241504,-7.388815367647494,0.42766642699978935,-9.0696946285908,-4.161134690041621,-6.053727345746215,0.0,0.0,0.0,0.0,
2021-12-31,-5.429939439259597,-4.898326989131875,-7.995250484457973,-1.1029171392319541,-4.07288167462908,-7.030825561066842,-5.951805564430611,0.0,0.0,0.0,0.0,
2022-01-03,-6.0050507356860106,-5.433868554137548,-7.547087040085239,0.1987197080318523,-8.215956085684788,-5.149003546754193,-5.963004351421596,0.0,0.0,0.0,0.0,
