,deltas
1,0.000164613570015959
2,-0.00010973936910829707
3,5.487118989577766e-05
4,-0.00010974539080343959
5,-0.00010975743617613887
6,0.0001646316370838008
7,0.00010973936910829707
8,-5.486817921251941e-05
9,-0.00010974539080343959
10,-0.0001646406721071969
11,0.0
12,0.00010976345985547198
13,-5.488022392441394e-05
14,5.488022392441394e-05
15,-0.00010976345985547198
16,-0.00016466778311929886
17,5.489227392629914e-05
18,-5.489227392629914e-05
19,0.0
20,0.00010978153485652342
21,5.488624826277544e-05
22,-0.00021956307037207523
23,5.489528725277637e-05
24,0.0
25,-0.0002745065761562415
26,0.00016471298799203282
27,5.489830091143233e-05
28,0.00027444630630313327
29,-5.488323593105804e-05
30,5.488323593105804e-05
31,0.0001646316370838008
32,-0.0001646316370838008
33,-0.00010976948419383348
34,0.0
35,5.488624826277544e-05
36,5.488323593105804e-05
37,0.0
38,0.0
39,0.0
40,-5.488323593105804e-05
41,5.488323593105804e-05
42,-5.488323593105804e-05
43,-0.00021956307037207523
44,-0.00010979961581192299
45,5.490131490049066e-05
46,0.00016468586209050784
47,0.00016465874512405776
48,-5.488323593105804e-05
49,-0.00027446137128350756
50,5.489830091143233e-05
51,0.00010978756117907551
52,0.00016465874512405776
53,0.00021950282697957846
54,0.0
55,-0.00010974539080343959
56,0.00010974539080343959
57,0.00010973334807395929
58,-0.00021947873887739888
59,-0.00010975743617613887
60,-0.00010976948419383348
61,-0.00010978153485652342
62,0.0002195510190503569
63,5.488022392441394e-05
64,5.487721225172493e-05
65,-0.0001646406721071969
66,-0.00010977550919299972
67,0.00010977550919299972
68,0.0
69,0.00021951487301485884
70,-0.00010975141315938686
71,0.0
72,-5.488022392441394e-05
73,0.00010975743617613887
74,-5.487721225172493e-05
75,0.00032921810996988654
76,5.485914914693524e-05
77,0.00027425061192687394
78,0.0004934616433711625
79,0.0003836352224180217
80,-0.0007674176773040386
81,-0.00010967918848514557
82,0.0003290014834753663
83,0.0002740852422249418
84,0.00043838019223585434
85,-0.00010957703276304187
86,-0.00016438806579621712
87,0.0001095950464122808
88,0.001040554325932419
89,-0.0008214002597473069
90,0.0004381640994637337
91,-0.00016428903955301166
92,0.00016428903955301166
93,-0.0003286050744293334
94,0.0
95,5.477501165351839e-05
96,-0.00021911805072605262
97,0.0
98,-0.0005480052745649999
99,-0.0001644601598957962
100,0.0001644601598957962
101,0.0
102,-5.481704811494126e-05
103,-0.0005483358145834671
104,0.0004935157613950025
105,-0.0003838245420677566
106,0.0005482756867429828
107,-0.00010963109148676153
108,0.0009862474088553341
109,-5.4766012226536986e-05
110,-0.00016431603487632174
111,-0.00038350911304085855
112,0.00010958904120528246
113,0.0006572821620203229
114,0.0004926782636953675
115,-0.0003831732263535059
116,-0.00043809211587308994
117,-0.00021911805072605262
118,-0.0001643700521469782
119,-0.000438452270532963
120,0.0003288572241206822
121,0.0003287491125973929
122,-0.0001643610468011758
123,0.0002739200718355761
124,-0.0004931101653209424
125,-0.0008223910110150001
126,0.0003290375680897739
127,5.4829070387896195e-05
128,-0.00016449623066527863
129,0.0005482155720866189
130,-0.0007127388662144796
131,0.0010415240080874355
132,0.0006572461623388648
133,-0.0004928941198940606
134,0.0
135,5.4778012119172104e-05
136,0.00010954702317000908
137,0.00032856908460487944
138,0.0007662416225162616
139,0.00038290075133495804
140,-0.00016408236971798829
141,0.0
142,0.0
143,-5.470010667885106e-05
144,-0.0003282634891057512
145,-0.00016417216224340336
146,0.00027360529870534833
147,0.0
148,0.0001094211621630592
149,-0.0003282994120112903
150,-0.0006569223425589854
151,-0.00010952902530192432
152,5.4766012226536986e-05
153,0.0004927591876100479
154,-0.0001094810598853968
155,-5.47450250589776e-05
156,0.0001642260849443744
157,0.00021892616802432485
158,0.0
159,-0.00021892616802432485
160,0.0
161,0.00038308934659347926
162,0.00027354542392288295
163,-5.47030989448416e-05
164,0.00010940320562369266
165,0.00043749317114638586
166,0.0002733360683961905
167,-0.0004373735786735722
168,-5.468515026230136e-05
169,5.468515026230136e-05
170,0.0003280481166640925
171,-0.0004374214078151084
172,-0.00010938525497827811
173,-0.00010939722141856123
174,-0.00021883035264380624
175,-0.00032833534277720844
176,0.000164181146901754
177,0.00021886627358114197
178,-5.4712077705687534e-05
179,-0.0010948706409319442
180,0.0
181,0.00032858707853122837
182,-0.00038336209018474676
183,0.00021908204710285872
184,0.0002737850804237496
185,0.00016423507550733518
186,0.00016420810677431064
187,0.00021890220631526347
188,-0.0003831103130895741
189,0.0005472555272572066
190,-0.00021886627358114197
191,0.00021886627358114197
192,-0.0004377804600945723
193,0.00032835331110980803
194,-5.471806518286826e-05
195,-0.0004925973663549854
196,-0.00027377008959028615
197,0.00021902206734836227
198,-0.00016426205309727493
199,0.0003284971286046101
200,0.00016420810677431064
201,0.00021890220631526347
202,-5.4721059413509465e-05
203,-0.00038313128188249834
204,0.0
205,0.00027368017905260444
206,5.472704885711721e-05
207,-0.00027366519970328795
208,-0.000218986095259055
209,0.000218986095259055
210,-0.00038325714285569745
211,0.00021902206734836227
212,0.00016423507550733518
213,0.0
214,5.47390316789631e-05
215,5.473603548367123e-05
216,-0.00021896212042804564
217,0.00043787630694147595
218,-0.00027365022199710154
219,-0.00043799617453466055
220,-0.0008217602566151783
221,5.480503111598978e-05
222,0.0003287671262484082
223,0.0002738900622425433
224,-5.477201151649069e-05
225,-0.0001095530237726905
226,-0.00010956502695336212
227,0.00016434303907253422
228,0.0003286050744293334
229,-0.00016428903955301166
230,-0.00016431603487632174
231,-0.00038350911304085855
232,-0.0003288392005966756
233,0.00010962508232914558
234,-0.00021926218363255146
235,0.00043847630190008147
236,-0.00021921411826753
237,-5.481103895732531e-05
238,5.481103895732531e-05
239,5.480803487145636e-05
240,0.0004383561714025319
241,-0.0001643610468011758
242,-5.4793019383936326e-05
243,0.0003287130912195124
244,0.00016431603487632174
245,0.00010952902530192432
246,-0.00016429803700823697
247,0.00021905805125932432
248,-5.476001425108734e-05
249,0.00016427104759664246
250,-5.475401759014176e-05
251,0.00027374011284919675
252,5.47390316789631e-05
253,-0.0001094810598853968
254,0.0
255,-0.00021899808464276305
256,-0.0002738150670147377
257,-5.477201151649069e-05
